id;order_no;delivery_address;dealer_code;amount;status;total;is_invoicing;invoice_no;placed_date;pay_channel;paydate;out_trade_no;settlement_status;settlement_date;deliveried_date;customer_no;customer_remark
1;84935;viral withdrawal;Internal interface;11951;SHIPPED;62152;false;2465;2020-08-26T02:47:51;online Soft whiteboard;2020-08-26T10:44:57;lavender solutions;Mandatory Kyat Bedfordshire;2020-08-26T23:45:20;2020-08-26T10:10:16;54091;orchid bi-directional
2;59738;e-business;navigate;15405;COMPLETED;1841;true;87384;2020-08-26T02:58:37;moderator Savings Account;2020-08-26T03:35:36;payment;Concrete;2020-08-26T05:28:34;2020-08-26T04:43:14;87047;Fantastic Rubber Chair Analyst
3;60704;Baht overriding;invoice;31754;SHIPPED;7731;true;34104;2020-08-26T15:50:48;Buckinghamshire;2020-08-26T21:09:31;Plastic;silver PCI;2020-08-26T21:28:43;2020-08-26T12:32:49;41705;transform Refined Metal Sausages
4;90120;Grocery;Pike Soap;53255;CANCELLED;63507;false;87030;2020-08-27T01:54:39;Tasty;2020-08-26T21:18:24;e-enable;orchid virtual Illinois;2020-08-26T09:25:32;2020-08-26T17:24:21;63465;Berkshire Unbranded Metal Mouse Optimization
5;37807;Regional;value-added Buckinghamshire;735;COMPLETED;19282;true;17457;2020-08-26T16:18:10;Advanced mission-critical;2020-08-26T15:39:44;Profound;withdrawal Refined XSS;2020-08-26T05:55:41;2020-08-26T19:24:01;6100;EXE Avon
6;54422;Swaziland visionary Borders;Aruban Guilder Soft Shoes;12523;PENDING;93996;true;63047;2020-08-26T22:12:22;transmit;2020-08-27T01:41:22;Switchable;Personal Loan Account;2020-08-27T01:15:17;2020-08-26T11:19:35;90838;maximized orchid Fantastic Metal Bike
7;9799;Pizza;Tasty Soft Pizza Ergonomic;66237;PENDING;19986;true;48250;2020-08-26T18:23:54;indigo Kyrgyz Republic;2020-08-26T17:31:34;withdrawal Books;drive;2020-08-26T07:21:00;2020-08-26T06:58:55;24054;hard drive Berkshire
8;28549;Berkshire purple;Nebraska Kip;80585;CANCELLED;10888;false;28660;2020-08-27T00:01:09;mission-critical indexing;2020-08-26T08:16:03;redefine infrastructures moratorium;Intelligent Rubber Mouse Montana Group;2020-08-26T15:11:59;2020-08-26T07:48:31;33407;Games Wyoming
9;4812;IB;Senior Senior;16996;SHIPPED;46104;false;86393;2020-08-27T00:21:11;Tuna synthesizing Greenland;2020-08-26T14:47:06;Berkshire dynamic digital;silver;2020-08-26T16:20:03;2020-08-26T16:47:28;40415;Cordoba Oro Somalia
10;38113;Anguilla Beauty;Future cross-platform Iowa;703;COMPLETED;62562;true;45839;2020-08-26T12:43:13;Awesome Concrete Bacon redefine granular;2020-08-26T20:45:41;Beauty;engineer Credit Card Account;2020-08-26T08:08:48;2020-08-26T12:14:13;58029;Rubber Sleek
