id;barcode;sku_code;name;price;sprec;status;sales_unit;discount_rate;discount_amount;quantity;subtotal;shipped;delivered
1;pricing structure reboot clear-thinking;Table;Networked Awesome;45666;Car reintermediate;AVAILABLE;GRAM;88915;86185;34313;61144;2020-08-26;2020-08-26
2;Vision-oriented Programmable;Infrastructure;Optimized Self-enabling;83365;Small Rubber Mouse mobile;AVAILABLE;KILOGRAM;35565;31986;63877;96178;2020-08-26;2020-08-26
3;Applications payment;incubate mindshare repurpose;interface Corners Checking Account;61190;quantify Beauty Zimbabwe Dollar;BACK_ORDER;PIECE;76570;59575;29103;63698;2020-08-26;2020-08-26
4;Cape Verde Avon neural;web-enabled Radial;Falls;70216;Health Central Solomon Islands;OUT_OF_STOCK;LITER;22358;39372;46519;40724;2020-08-26;2020-08-26
5;focus group;Lek;Iranian Rial Dynamic South Dakota;19381;Home Loan Account;AVAILABLE;KILOGRAM;24267;52110;30010;20747;2020-08-26;2020-08-26
6;Palladium;Crossing Liaison;knowledge user partnerships;55138;program parse;BACK_ORDER;LITER;61417;7698;62167;69117;2020-08-26;2020-08-26
7;Checking Account;Tools generating;Director;34888;Incredible RSS;BACK_ORDER;KILOGRAM;16952;65831;21513;45329;2020-08-26;2020-08-26
8;Wooden;PNG Car Keyboard;Pizza;9061;payment HDD payment;OUT_OF_STOCK;PIECE;35998;84621;31246;13255;2020-08-26;2020-08-26
9;multi-tasking Guinea;Cambridgeshire Cambridgeshire;Borders Right-sized;40558;Handcrafted;OUT_OF_STOCK;PIECE;3709;55685;62219;68673;2020-08-26;2020-08-26
10;bus;deposit;e-business Agent Computer;15897;archive capacitor parsing;AVAILABLE;PIECE;24421;40473;80797;96335;2020-08-26;2020-08-26
